order,index,questionType,questionVoice,waitText,speaker,prompt,question,answerA,answerB,corrAnswer
45,1,Mental,third,Waiting for Computer_,Computer,Mia knows her sister is lying.,Which will she pick?,Tell on her,Believe her,Tell on her
59,2,Mental,first,Waiting for Computer_,Sarah,I am excited to see my friend.,Which will I pick?,Hug friend,Ignore friend,Hug friend
106,3,Mental,third,Waiting for Computer_,Computer,Mia wants to borrow a book. ,Which will she pick?,Mall,Library,Library
61,4,Mental,third,Waiting for Computer_,Computer,Mia likes homemade meals.,Which will she pick?,Buy lunch,Pack lunch,Pack lunch
38,7,Mental,third,Waiting for Computer_,Computer,Mia does not think the teacher heard her.,Which will she pick?,Repeat question,Wait for answer,Repeat question
35,9,Mental,third,Waiting for Computer_,Computer,Mia feels confused during math class.,Which will she pick?,Math tutor,Math club,Math tutor
79,10,Mental,third,Waiting for Computer_,Computer,Mia thinks her friend is mad at her.,Which will she pick?,Annoy friend,Apologize,Apologize
74,11,Mental,third,Waiting for Computer_,Computer,Mia wants to stay dry at the lake.,Which will she pick?,Picnic,Swimming,Picnic
98,12,Mental,first,Waiting for Computer_,Sarah,I want a healthy snack.,Which will I pick?,Cookies,Carrots,Carrots
15,13,Mental,first,Waiting for Computer_,Sarah,I really like to laugh. ,Which will I pick?,Funny movie,Scary movie,Funny movie
90,15,Mental,third,Waiting for Computer_,Computer,Mia does not know what time it is.,Which will she pick?,Clock,Calculator,Clock
109,16,Mental,first,Waiting for Computer_,Sarah,I want to do some exercise.,Which will I pick?,Soccer,Movie,Soccer
83,18,Mental,first,Waiting for Computer_,Sarah,I think flying is fun.,Which will I pick?,Train,Plane,Plane
36,19,Mental,first,Waiting for Computer_,Sarah,I am angry at my mom.,Which will I pick?,Smile at mom,Glare at mom,Glare at mom
50,20,Mental,third,Waiting for Computer_,Computer,Mia is afraid of heights.,Which will she pick?,Climb tree,Rake leaves,Rake leaves
71,21,Mental,third,Waiting for Computer_,Computer,Mia is interested in the ocean.,Which will she pick?,Aquarium,Zoo,Aquarium
44,22,Mental,third,Waiting for Computer_,Computer,Mia thinks there is candy in the jar.,Which will she pick?,Jar,Drawer,Jar
105,23,Mental,first,Waiting for Computer_,Sarah,I think my friend is busy.,Which will I pick?,Ask to hang out,Leave alone,Leave alone
102,24,Mental,third,Waiting for Computer_,Computer,Mia does not like fruit.,Which will she pick?,Soda,Juice,Soda
17,28,Mental,first,Waiting for Computer_,Sarah,I think TV shows should be silly.,Which will I pick?,Drama,Comedy ,Comedy 
107,29,Mental,third,Waiting for Computer_,Computer,Mia knows her brother is hiding in the closet.,Which will she pick?,Keep looking,Open closet,Open closet
87,30,Mental,first,Waiting for Computer_,Sarah,I want to get a good grade.,Which will I pick?,Watch TV,Study for test,Study for test
84,31,Mental,third,Waiting for Computer_,Computer,Mia wants to have fun with her friends.,Which will she pick?,Party,Nature walk,Party
16,32,Mental,third,Waiting for Computer_,Computer,Mia wants to listen to loud music.,Which will she pick?,Classical,Rock,Rock
51,33,Mental,first,Waiting for Computer_,Sarah,I like to play with animals.,Which will I pick?,Goldfish,Dog,Dog
92,35,Mental,first,Waiting for Computer_,Sarah,I think skiing is dangerous.,Which will I pick?,Mountain slope,Hot cocoa,Hot cocoa
39,36,Mental,first,Waiting for Computer_,Sarah,I know that school is closed today.,Which will I pick?,Play outside,Wait at bus stop,Play outside
60,37,Mental,first,Waiting for Computer_,Sarah,I want to eat healthy.,Which will I pick?,Fish,Pizza,Fish
101,38,Mental,third,Waiting for Computer_,Computer,Mia likes to get exercise.,Which will she pick?,Card game,Kickball,Kickball
91,39,Mental,first,Waiting for Computer_,Sarah,I do not think I did well on the test.,Which will I pick?,Ask for help,Celebrate,Ask for help
29,42,Mental,first,Waiting for Computer_,Sarah,I do not know where I'm going.,Which will I pick?,Walk faster,Ask for directions,Ask for directions
86,43,Mental,third,Waiting for Computer_,Computer,Mia knows the answer to the question.,Which will she pick?,Say answer,Look confused,Say answer
120,44,Mental,third,Waiting for Computer_,Computer,Mia knows it will rain later.,Which will she pick?,Umbrella,Sandals,Umbrella
110,45,Mental,third,Waiting for Computer_,Computer,Mia thinks she is funny.,Which will she pick?,Tell a joke,Sing a song,Tell a joke
95,46,Mental,third,Waiting for Computer_,Computer,Mia likes to run.,Which will she pick?,Soccer,Dodgeball,Soccer
54,47,Mental,first,Waiting for Computer_,Sarah,I am scared of roller coasters.,Which will I pick?,Theme park,Water park,Water park
119,48,Mental,third,Waiting for Computer_,Computer,Mia likes to read.,Which will she pick?,Short story,Long novel,Long novel
20,49,Mental,third,Waiting for Computer_,Computer,Mia wonders if the weather is nice.,Which will she pick?,Window,Basement,Window
6,50,Mental,first,Waiting for Computer_,Sarah,I do not want to go to bed early.,Which will I pick?,7pm bedtime,11pm bedtime,11pm bedtime
24,51,Mental,first,Waiting for Computer_,Sarah,I know my bike was stolen.,Which will I pick?,Check garage,Call police,Call police
58,52,Mental,first,Waiting for Computer_,Sarah,I care about the environment.,Which will I pick?,Recycling,Trash,Recycling
37,53,Mental,first,Waiting for Computer_,Sarah,I think it will be warm today.,Which will I pick?,Long sleeves,T-shirt,T-shirt
113,54,Mental,first,Waiting for Computer_,Sarah,I know the house is empty. ,Which will I pick?,Knock on door,Leave a note,Leave a note
52,55,Mental,third,Waiting for Computer_,Computer,Mia wants to watch a true story.,Which will she pick?,History Channel,Cartoon Network,History Channel
27,56,Mental,third,Waiting for Computer_,Computer,Mia worries about being in front of people.,Which will she pick?,Give a speech,Read a book,Read a book
96,57,Mental,first,Waiting for Computer_,Sarah,I want to save money.,Which will I pick?,Video game,Yo-yo,Yo-yo
100,58,Mental,first,Waiting for Computer_,Sarah,"I like calm, relaxing rides.",Which will I pick?,Ferris wheel,Roller coaster,Ferris wheel
57,59,Mental,first,Waiting for Computer_,Sarah,I am bored.,Which will I pick?,New game,Chores,New game
56,61,Physical,first,Waiting for Computer_,Sarah,My bedroom gets cold at night.,Which of these match?,Close window,Open window,Close window
22,62,Physical,first,Waiting for Computer_,Sarah,My headphones are broken.,Which of these match?,Listen to music,Draw a picture,Draw a picture
53,63,Physical,first,Waiting for Computer_,Sarah,I am in the living room. ,Which of these match?,Watch TV,Cook dinner,Watch TV
65,64,Physical,first,Waiting for Computer_,Sarah,I am going to a birthday party.,Which of these match?,Party hat,Reading glasses,Party hat
99,65,Physical,third,Waiting for Computer_,Computer,Mia's yard does not have any trees.,Which of these match?,Treehouse,Volleyball net,Volleyball net
1,66,Physical,first,Waiting for Computer_,Sarah,I can kick the ball far.,Which of these match?,Basketball,Soccer,Soccer
62,67,Physical,third,Waiting for Computer_,Computer,Mia is going to a water park.,Which of these match?,Athletic shorts,Bathing suit,Bathing suit
81,69,Physical,first,Waiting for Computer_,Sarah,I can't see things far away.,Which of these match?,Blindfold,Glasses,Glasses
19,70,Physical,third,Waiting for Computer_,Computer,Mia's paint palette is dirty.,Which of these match?,Paint picture,Clean palette,Clean palette
