order,index,questionType,questionVoice,waitText,speaker,prompt,question,answerA,answerB,corrAnswer
45,1,Mental,first,Waiting for Computer_,Michael,I know my sister is lying.,Which will I pick?,Tell on her,Believe her,Tell on her
59,2,Mental,third,Waiting for Computer_,Computer,Sam is excited to see his friend.,Which will he pick?,Hug friend,Ignore friend,Hug friend
106,3,Mental,first,Waiting for Computer_,Michael,I want to borrow a book. ,Which will I pick?,Mall,Library,Library
61,4,Mental,first,Waiting for Computer_,Michael,I like homemade meals.,Which will I pick?,Buy lunch,Pack lunch,Pack lunch
38,7,Mental,first,Waiting for Computer_,Michael,I do not think the teacher heard me.,Which will I pick?,Repeat question,Wait for answer,Repeat question
35,9,Mental,first,Waiting for Computer_,Michael,I feel confused during math class.,Which will I pick?,Math tutor,Math club,Math tutor
79,10,Mental,first,Waiting for Computer_,Michael,I think my friend is mad at me.,Which will I pick?,Annoy friend,Apologize,Apologize
74,11,Mental,first,Waiting for Computer_,Michael,I want to stay dry at the lake.,Which will I pick?,Picnic,Swimming,Picnic
98,12,Mental,third,Waiting for Computer_,Computer,Sam wants a healthy snack.,Which will he pick?,Cookies,Carrots,Carrots
15,13,Mental,third,Waiting for Computer_,Computer,Sam really likes to laugh. ,Which will he pick?,Funny movie,Scary movie,Funny movie
90,15,Mental,first,Waiting for Computer_,Michael,I do not know what time it is.,Which will I pick?,Clock,Calculator,Clock
109,16,Mental,third,Waiting for Computer_,Computer,Sam wants to do some exercise.,Which will he pick?,Soccer,Movie,Soccer
83,18,Mental,third,Waiting for Computer_,Computer,Sam thinks flying is fun.,Which will he pick?,Train,Plane,Plane
36,19,Mental,third,Waiting for Computer_,Computer,Sam is angry at his mom.,Which will he pick?,Smile at mom,Glare at mom,Glare at mom
50,20,Mental,first,Waiting for Computer_,Michael,I am afraid of heights.,Which will I pick?,Climb tree,Rake leaves,Rake leaves
71,21,Mental,first,Waiting for Computer_,Michael,I am interested in the ocean.,Which will I pick?,Aquarium,Zoo,Aquarium
44,22,Mental,first,Waiting for Computer_,Michael,I think there is candy in the jar.,Which will I pick?,Jar,Drawer,Jar
105,23,Mental,third,Waiting for Computer_,Computer,Sam thinks his friend is busy.,Which will he pick?,Ask to hang out,Leave alone,Leave alone
102,24,Mental,first,Waiting for Computer_,Michael,I do not like fruit.,Which will I pick?,Soda,Juice,Soda
17,28,Mental,third,Waiting for Computer_,Computer,Sam thinks TV shows should be silly.,Which will he pick?,Drama,Comedy ,Comedy 
107,29,Mental,first,Waiting for Computer_,Michael,I know my brother is hiding in the closet.,Which will I pick?,Keep looking,Open closet,Open closet
87,30,Mental,third,Waiting for Computer_,Computer,Sam wants to get a good grade.,Which will he pick?,Watch TV,Study for test,Study for test
84,31,Mental,first,Waiting for Computer_,Michael,I want to have fun with my friends.,Which will I pick?,Party,Nature walk,Party
16,32,Mental,first,Waiting for Computer_,Michael,I want to listen to loud music.,Which will I pick?,Classical,Rock,Rock
51,33,Mental,third,Waiting for Computer_,Computer,Sam likes to play with animals.,Which will he pick?,Goldfish,Dog,Dog
92,35,Mental,third,Waiting for Computer_,Computer,Sam thinks skiing is dangerous.,Which will he pick?,Mountain slope,Hot cocoa,Hot cocoa
39,36,Mental,third,Waiting for Computer_,Computer,Sam knows that school is closed today.,Which will he pick?,Play outside,Wait at bus stop,Play outside
60,37,Mental,third,Waiting for Computer_,Computer,Sam wants to eat healthy.,Which will he pick?,Fish,Pizza,Fish
101,38,Mental,first,Waiting for Computer_,Michael,I like to get exercise.,Which will I pick?,Card game,Kickball,Kickball
91,39,Mental,third,Waiting for Computer_,Computer,Sam does not think he did well on the test.,Which will he pick?,Ask for help,Celebrate,Ask for help
29,42,Mental,third,Waiting for Computer_,Computer,Sam does not know where he's going.,Which will he pick?,Walk faster,Ask for directions,Ask for directions
86,43,Mental,first,Waiting for Computer_,Michael,I know the answer to the question.,Which will I pick?,Say answer,Look confused,Say answer
120,44,Mental,first,Waiting for Computer_,Michael,I know it will rain later.,Which will I pick?,Umbrella,Sandals,Umbrella
110,45,Mental,first,Waiting for Computer_,Michael,I think I am funny.,Which will I pick?,Tell a joke,Sing a song,Tell a joke
95,46,Mental,first,Waiting for Computer_,Michael,I like to run.,Which will I pick?,Soccer,Dodgeball,Soccer
54,47,Mental,third,Waiting for Computer_,Computer,Sam is scared of roller coasters.,Which will he pick?,Theme park,Water park,Water park
119,48,Mental,first,Waiting for Computer_,Michael,I like to read.,Which will I pick?,Short story,Long novel,Long novel
20,49,Mental,first,Waiting for Computer_,Michael,I wonder if the weather is nice.,Which will I pick?,Window,Basement,Window
6,50,Mental,third,Waiting for Computer_,Computer,Sam does not want to go to bed early.,Which will he pick?,7pm bedtime,11pm bedtime,11pm bedtime
24,51,Mental,third,Waiting for Computer_,Computer,Sam knows his bike was stolen.,Which will he pick?,Check garage,Call police,Call police
58,52,Mental,third,Waiting for Computer_,Computer,Sam cares about the environment.,Which will he pick?,Recycling,Trash,Recycling
37,53,Mental,third,Waiting for Computer_,Computer,Sam thinks it will be warm today.,Which will he pick?,Long sleeves,T-shirt,T-shirt
